-.ac	Остров Вознесения
.ad	 Андорра
.ae	 ОАЭ
.af	 Афганистан
.ag	 Антигуа и Барбуда
.ai	 Ангилья
.al	 Албания
.am	 Армения
.an	 Нидерландские Антильские острова
.ao	 Ангола
.aq	 Антарктика
.ar	 Аргентина
.as	 Американское Самоа	
.at	 Австрия
.au	 Австралия
.aw	 Аруба
.ax	 Аландские острова
.az	 Азербайджан
.ba	 Босния и Герцеговина
.bb	 Барбадос
.bd	 Бангладеш
.be	 Бельгия
.bf	 Буркина-Фасо
.bg	 Болгария
.bh	 Бахрейн
.bi	 Бурунди
.bj	 Бенин	
.bm	 Бермуды
.bn	 Бруней	
.bo	 Боливия	
.br	 Бразилия
.bs	 Багамские Острова
.bt	 Бутан
.bv	 Остров Буве
.bw	 Ботсвана	
.by	 Беларусь
.bz	 Белиз
.ca	 Канада
.cc	 Кокосовые острова
.cd	 ДР Конго
.cf	 ЦАР
.cg	 Республика Конго
.ch	 Швейцария	
.ci	 Кот-д’Ивуар
.ck	 Острова Кука
.cl	 Чили
.cm	 Камерун
.cn	 Китай
.co	 Колумбия
.cr	 Коста-Рика
.cu	 Куба
.cv	 Кабо-Верде
.cx	 Остров Рождества
.cy	 Кипр
.cz	 Чехия
.de	 Германия
.dj	 Джибути
.dk	 Дания
.dm	 Доминика
.do	 Доминиканская Республика
.dz	 Алжир
.ec	 Эквадор
.ee	 Эстония
.eg	 Египет
.er	 Эритрея
.es	 Испания
.et	 Эфиопия
.eu	 Европейский союз
.fi	 Финляндия	
.fj	 Фиджи	
.fk	 Фолклендские острова
.fm	 Федеративные Штаты Микронезии
.fo	 Фарерские острова
.fr	 Франция
.ga	 Габон
.gb	 Великобритания
.gd	 Гренада
.ge	 Грузия
-.gf	 Гвиана
.gg	 Гернси
.gh	 Гана
.gi	 Гибралтар
.gl	 Гренландия
.gm	 Гамбия
.gn	 Гвинея
-.gp	 Гваделупа
.gq	 Экваториальная Гвинея
.gr	 Греция
.gs	 Южная Георгия и Южные Сандвичевы Острова
.gt	 Гватемала
.gu	 Гуам
.gw	 Гвинея-Бисау
.gy	 Гайана
.hk	 Гонконг
-.hm	Остров Херд и острова Макдональд
.hn	 Гондурас
.hr	 Хорватия
.ht	 Гаити
.hu	 Венгрия
.id	 Индонезия
.ie	 Ирландия
.il	 Израиль
.im	 Остров Мэн
.in	 Индия
.io	 Британская Территория в Индийском Океане
.iq	 Ирак
.ir	 Иран
.is	 Исландия
.it	 Италия	
.je	 Джерси	
.jm	 Ямайка	
.jo	 Иордания
.jp	 Япония	
.ke	 Кения
.kg	 Кыргызстан
.kh	 Камбоджа
.ki	 Кирибати
.km	 Коморы	
.kn	 Сент-Китс и Невис
.kp	 КНДР
.kr	 Республика Корея
.kw	 Кувейт	
.ky	 Острова Кайман	
.kz	 Казахстан
.la	 Лаос
.lb	 Ливан
.lc	 Сент-Люсия
.li	 Лихтенштейн
.lk	 Шри-Ланка
.lr	 Либерия
.ls	 Лесото	
.lt	 Литва
.lu	 Люксембург	
.lv	 Латвия
.ly	 Ливия
.ma	 Марокко
.mc	 Монако	
.md	 Молдова
.me	 Черногория	
.mg	 Мадагаскар	
.mh	 Маршалловы Острова	 
.mk	 Северная Македония	
.ml	 Мали
.mm	 Мьянма	
.mn	 Монголия
.mo	 Макао
.mp	 Северные Марианские Острова
.mq	 Мартиника
.mr	 Мавритания	
.ms	 Монтсеррат	
.mt	 Мальта	
.mu	 Маврикий
.mv	 Мальдивы
.mw	 Малави	
.mx	 Мексика
.my	 Малайзия
.mz	 Мозамбик
.na	 Намибия
.nc	 Новая Каледония
.ne	 Нигер
.nf	 Остров Норфолк	
.ng	 Нигерия
.ni	 Никарагуа
.nl	 Нидерланды	
.no	 Норвегия	
.np	 Непал
.nr	 Науру	
.nu	 Ниуэ
.nz	 Новая Зеландия	
.om	 Оман	
.pa	 Панама	
.pe	 Перу
.pf	 Французская Полинезия
.pg	 Папуа — Новая Гвинея
.ph	 Филиппины	
.pk	 Пакистан
.pl	 Польша	
-.pm	 Сен-Пьер и Микелон	
.pn	 Острова Питкэрн
.pr	 Пуэрто-Рико
.ps	 Государство Палестина	
.pt	 Португалия
.pw	 Палау	
.py	 Парагвай
.qa	 Катар
-.re	 Реюньон
.ro	 Румыния
.rs	 Сербия
.ru	 Россия	
.рф	 Россия
.rw	 Руанда
.sa	 Саудовская Аравия
.sb	 Соломоновы Острова
.sc	 Сейшельские Острова
.sd	 Судан
.se	 Швеция
.sg	 Сингапур
-.sh	 Остров Святой Елены
.si	 Словения
.sj	Острова  Шпицберген и  Ян-Майен
.sk	 Словакия
.sl	 Сьерра-Леоне
.sm	 Сан-Марино
.sn	 Сенегал
.so	 Сомали
.sr	 Суринам
.st	 Сан-Томе и Принсипи
.su	 СССР
.sv	 Сальвадор
.sy	 Сирия
.sz	 Свазиленд
.tc	 Теркс и Кайкос
.td	 Чад
.tf	 Французские Южные и Антарктические территории
.tg	 Того
.th	 Таиланд
.tj	 Таджикистан
.tk	 Токелау
.tl	 Восточный Тимор
.tm	 Туркменистан
.tn	 Тунис
.to	 Тонга
.tp	 Восточный Тимор
.tr	 Турция
.tt	 Тринидад и Тобаго
.tv	 Тувалу
.tw	 Китайская Республика (Тайвань)
.tz	 Танзания
.ua	 Украина
.ug	 Уганда
.uk	 Великобритания
.us	 США
.uy	 Уругвай
.uz	 Узбекистан
.va	 Ватикан
.vc	 Сент-Винсент и Гренадины
.ve	 Венесуэла
.vg	 Виргинские Острова (Великобритания)
.vi	 Виргинские Острова (США)
.vn	 Вьетнам
.vu	 Вануату
.wf	 Уоллис и Футуна
.ws	 Самоа	Western Samoa
.ye	 Йемен
.yt	 Майотта
.za	 ЮАР
.zm	 Замбия
.zw	 Зимбабве
